model,balancing,threshold,accuracy,precision,recall,f1_score,roc_auc
LightGBM,SMOTE,0.5,0.9185998627316404,0.46619217081850534,0.22822299651567945,0.3064327485380117,0.7581645933750778
LightGBM,SMOTE,0.3,0.8290093800045756,0.22614840989399293,0.4831591173054588,0.3080910942418071,0.7581645933750778
LightGBM,SMOTETomek,0.5,0.9216655227636696,0.5065616797900262,0.22415795586527293,0.3107890499194847,0.7574295424394099
LightGBM,SMOTETomek,0.3,0.8378860672614962,0.23555039209991285,0.4709639953542393,0.31403678606001934,0.7574295424394099
LightGBM,SMOTETomek,0.7,0.9285746968657058,0.8207171314741036,0.11962833914053426,0.20881905727318803,0.7574295424394099
RandomForest,SVMSMOTE,0.3,0.6216884008236102,0.1395374449339207,0.7357723577235772,0.23458618774301054,0.7433446067968567
RandomForest,SVMSMOTE,0.5,0.8812628689087165,0.2816408204102051,0.32694541231126595,0.30260682612201023,0.7433446067968567
RandomForest,SVMSMOTE,0.7,0.9244566460764128,0.578021978021978,0.1527293844367015,0.2416169039963252,0.7433446067968567
LogisticRegression,RandomUnderSampler,0.3,0.3158544955387783,0.09811664641555286,0.937862950058072,0.17764822351776483,0.7406643324793722
LogisticRegression,RandomUnderSampler,0.7,0.8908258979638527,0.2906683480453972,0.2677119628339141,0.27871825876662637,0.7406643324793722
LogisticRegression,RandomUnderSampler,0.5,0.6823610157858614,0.15246338215712382,0.664924506387921,0.24805025996533794,0.7406643324793722
LogisticRegression,EditedNearestNeighbours,0.5,0.9244566460764128,0.6187290969899666,0.10743321718931476,0.1830776843146957,0.7377582225701985
LogisticRegression,EditedNearestNeighbours,0.3,0.9129718599862732,0.3972602739726027,0.20209059233449478,0.2678983833718245,0.7377582225701985
LogisticRegression,EditedNearestNeighbours,0.7,0.9250514756348661,0.8,0.06504065040650407,0.12030075187969924,0.7377582225701985
LogisticRegression,TomekLinks,0.5,0.9254175245939145,0.75,0.08013937282229965,0.14480587618048268,0.7370468094488724
LogisticRegression,TomekLinks,0.3,0.9227179135209335,0.5341614906832298,0.14982578397212543,0.23401360544217686,0.7370468094488724
LogisticRegression,TomekLinks,0.7,0.9244566460764128,0.9176470588235294,0.04529616724738676,0.08633093525179857,0.7370468094488724
LogisticRegression,None,0.3,0.9234042553191489,0.555045871559633,0.140534262485482,0.2242817423540315,0.7369994761318072
LogisticRegression,None,0.5,0.924822695035461,0.7337278106508875,0.07200929152148665,0.13114754098360656,0.7369994761318072
LogisticRegression,None,0.7,0.9244108899565316,0.9375,0.04355400696864112,0.08324084350721421,0.7369994761318072
RandomForest,SMOTEENN,0.3,0.4154655685197895,0.107799304520616,0.8821138211382114,0.1921204072598495,0.7358345746430834
RandomForest,SMOTEENN,0.7,0.8659803248684511,0.22605537902859738,0.289198606271777,0.2537579617834395,0.7358345746430834
RandomForest,SMOTEENN,0.5,0.6948524365133837,0.15688722430295465,0.6567944250871081,0.25327510917030566,0.7358345746430834
RandomForest,BorderlineSMOTE,0.7,0.9193319606497369,0.4398826979472141,0.08710801393728224,0.1454192922927775,0.7356747057157014
RandomForest,BorderlineSMOTE,0.5,0.7855410661175932,0.18611052297268685,0.5104529616724739,0.27276958882854924,0.7356747057157014
RandomForest,BorderlineSMOTE,0.3,0.5567604667124227,0.12956934238675472,0.8089430894308943,0.223362462919907,0.7356747057157014
RandomForest,SMOTE,0.7,0.9201098146877145,0.45384615384615384,0.06852497096399536,0.11907164480322906,0.735417386689779
RandomForest,SMOTE,0.3,0.5049645390070922,0.11940423395531755,0.8286875725900116,0.20873253857968257,0.735417386689779
RandomForest,SMOTE,0.5,0.7898421413864104,0.19015756529246708,0.5116144018583043,0.2772619984264359,0.735417386689779
RandomForest,SMOTETomek,0.7,0.9177762525737817,0.38390092879256965,0.07200929152148665,0.12127139364303179,0.7319273838267045
RandomForest,SMOTETomek,0.5,0.7881034088309311,0.1868675995694295,0.5040650406504065,0.2726558818910005,0.7319273838267045
RandomForest,SMOTETomek,0.3,0.5204301075268817,0.12118328864285097,0.813588850174216,0.21094632236693517,0.7319273838267045
